,Road_1st,Road_2nd,Road_3rd,Road_4th,Road_5th,Road_6th,Road_7th,Road_8th,Road_9th,Home_1st,Home_2nd,Home_3rd,Home_4th,Home_5th,Home_6th,Home_7th,Home_8th,Home_9th,OT_number,Game_Date,Game_Start,Game_Visitor,Game_Visitor_Points,Game_Home,Game_Home_Points,Game_OT,Season,Road_Minutes_Played,Road_Field_Goals,Road_Field_Goal_Attempts,Road_Field_Goal_Percentage,Road_t3_Point_Field_Goals,Road_t3_Point_Field_Goal_Attempts,Road_t3_Point_Field_Goal_Percentage,Road_Free_Throws,Road_Free_Throw_Attempts,Road_Free_Throw_Percentage,Road_Offensive_Rebounds,Road_Defensive_Rebounds,Road_Total_Rebounds,Road_Assists,Road_Steals,Road_Blocks,Road_Turnovers,Road_Personal_Fouls,Road_Points,Home_Minutes_Played,Home_Field_Goals,Home_Field_Goal_Attempts,Home_Field_Goal_Percentage,Home_t3_Point_Field_Goals,Home_t3_Point_Field_Goal_Attempts,Home_t3_Point_Field_Goal_Percentage,Home_Free_Throws,Home_Free_Throw_Attempts,Home_Free_Throw_Percentage,Home_Offensive_Rebounds,Home_Defensive_Rebounds,Home_Total_Rebounds,Home_Assists,Home_Steals,Home_Blocks,Home_Turnovers,Home_Personal_Fouls,Home_Points,Road_True_Shooting_Percentage,Road_Effective_Field_Goal_Percentage,Road_t3_Point_Attempt_Rate,Road_Free_Throw_Attempt_Rate,Road_Offensive_Rebound_Percentage,Road_Defensive_Rebound_Percentage,Road_Total_Rebound_Percentage,Road_Assist_Percentage,Road_Steal_Percentage,Road_Block_Percentage,Road_Turnover_Percentage,Road_Usage_Percentage,Road_Offensive_Rating,Road_Defensive_Rating,Home_True_Shooting_Percentage,Home_Effective_Field_Goal_Percentage,Home_t3_Point_Attempt_Rate,Home_Free_Throw_Attempt_Rate,Home_Offensive_Rebound_Percentage,Home_Defensive_Rebound_Percentage,Home_Total_Rebound_Percentage,Home_Assist_Percentage,Home_Steal_Percentage,Home_Block_Percentage,Home_Turnover_Percentage,Home_Usage_Percentage,Home_Offensive_Rating,Home_Defensive_Rating,Road_Pace,Road_eFG%,Road_TOV%,Road_ORB%,Road_FT/FGA,Road_ORt,Home_Pace,Home_eFG%,Home_TOV%,Home_ORB%,Home_FT/FGA,Home_ORt
0,21,30,21,23,0,0,0,0,0,28,17,20,24,0,0,0,0,0,0,20091027,7:30 pm,BOS,95,CLE,89,0,2010,14400,32,72,0.4444,9,19,0.4737,22,26,0.8462,6,32,38,20,9,8,14,27,95,14400,29,70,0.4143,6,17,0.3529,25,32,0.7812,6,26,32,17,7,9,13,22,89,0.569,0.507,0.264,0.361,18.8,84.2,54.3,62.5,10.2,15.1,14.4,100.0,107.2,100.4,0.529,0.457,0.243,0.457,15.8,81.3,45.7,58.6,7.9,17.0,13.4,100.0,100.4,107.2,88.6,0.507,14.4,18.8,0.306,107.2,88.6,0.457,13.4,15.8,0.35700000000000004,100.4
1,21,35,21,25,0,0,0,0,0,21,29,24,17,0,0,0,0,0,0,20091027,7:30 pm,WAS,102,DAL,91,0,2010,14400,39,84,0.4643,4,13,0.3077,20,24,0.8333,9,37,46,19,6,4,9,29,102,14400,30,76,0.3947,4,18,0.2222,27,34,0.7941,11,31,42,16,6,9,9,20,91,0.539,0.488,0.155,0.28600000000000003,22.5,77.1,52.3,48.7,6.7,6.9,8.7,100.0,113.9,101.6,0.5,0.42100000000000004,0.237,0.447,22.9,77.5,47.7,53.3,6.7,12.7,9.0,100.0,101.6,113.9,89.5,0.488,8.7,22.5,0.23800000000000002,113.9,89.5,0.42100000000000004,9.0,22.9,0.355,101.6
2,22,27,26,17,0,0,0,0,0,32,27,17,23,0,0,0,0,0,0,20091027,7:30 pm,LAC,92,LAL,99,0,2010,14400,39,87,0.4483,3,15,0.2,11,16,0.6875,15,36,51,27,10,4,20,27,92,14400,35,85,0.4118,4,17,0.2353,25,37,0.6757,17,30,47,17,13,4,16,15,99,0.489,0.466,0.172,0.184,33.3,67.9,52.0,69.2,10.3,5.9,17.5,100.0,94.4,101.6,0.489,0.435,0.2,0.435,32.1,66.7,48.0,48.6,13.3,5.6,13.6,100.0,101.6,94.4,97.5,0.466,17.5,33.3,0.126,94.4,97.5,0.435,13.6,32.1,0.294,101.6
3,23,18,15,31,0,0,0,0,0,23,31,21,21,0,0,0,0,0,0,20091027,7:00 pm,HOU,87,POR,96,0,2010,14400,30,81,0.3704,5,18,0.2778,22,29,0.7586,10,23,33,18,12,2,16,26,87,14400,33,77,0.4286,10,21,0.4762,20,22,0.9091,12,39,51,23,9,12,26,27,96,0.46399999999999997,0.401,0.222,0.358,20.4,65.7,39.3,60.0,12.4,3.6,14.6,100.0,90.1,99.4,0.5539999999999999,0.494,0.273,0.28600000000000003,34.3,79.6,60.7,69.7,9.3,19.0,23.1,100.0,99.4,90.1,96.6,0.401,14.6,20.4,0.272,90.1,96.6,0.494,23.1,34.3,0.26,99.4
4,32,33,29,15,0,0,0,0,0,29,37,29,25,0,0,0,0,0,0,20091028,7:00 pm,IND,109,ATL,120,0,2010,14400,39,73,0.5342,10,18,0.5556,21,25,0.84,6,34,40,23,1,4,25,26,109,14400,46,87,0.5287,7,12,0.5833,21,29,0.7241,8,27,35,30,16,6,10,25,120,0.649,0.603,0.247,0.342,18.2,81.0,53.3,59.0,1.0,5.3,22.9,100.0,108.1,119.0,0.601,0.569,0.138,0.33299999999999996,19.0,81.8,46.7,65.2,15.9,10.9,9.1,100.0,119.0,108.1,100.8,0.603,22.9,18.2,0.28800000000000003,108.1,100.8,0.569,9.1,19.0,0.24100000000000002,119.0
5,13,18,10,18,0,0,0,0,0,22,20,25,25,0,0,0,0,0,0,20091028,7:30 pm,CHA,59,BOS,92,0,2010,14400,23,74,0.3108,0,10,0.0,13,25,0.52,14,32,46,10,6,4,18,23,59,14400,33,76,0.4342,11,29,0.3793,15,19,0.7895,10,34,44,28,10,8,12,22,92,0.34700000000000003,0.311,0.135,0.33799999999999997,29.2,76.2,51.1,43.5,7.0,8.5,17.5,100.0,69.1,107.8,0.545,0.507,0.382,0.25,23.8,70.8,48.9,84.8,11.7,12.5,12.5,100.0,107.8,69.1,85.4,0.311,17.5,29.2,0.17600000000000002,69.1,85.4,0.507,12.5,23.8,0.19699999999999998,107.8
6,30,25,25,25,0,0,0,0,0,23,31,28,32,0,0,0,0,0,0,20091028,8:30 pm,UTA,105,DEN,114,0,2010,14400,37,81,0.4568,6,10,0.6,25,29,0.8621,10,29,39,26,3,4,15,20,105,14400,43,89,0.4831,5,13,0.3846,23,30,0.7667,14,28,42,22,5,6,13,25,114,0.56,0.494,0.12300000000000001,0.358,26.3,67.4,48.1,70.3,3.1,5.3,13.8,100.0,108.7,118.0,0.5579999999999999,0.511,0.146,0.337,32.6,73.7,51.9,51.2,5.2,8.5,11.3,100.0,118.0,108.7,96.6,0.494,13.8,26.3,0.309,108.7,96.6,0.511,11.3,32.6,0.258,118.0
7,26,26,35,21,0,0,0,0,0,28,34,19,26,0,0,0,0,0,0,20091028,7:30 pm,HOU,108,GSW,107,0,2010,14400,40,86,0.4651,12,26,0.4615,16,20,0.8,13,28,41,30,14,7,18,22,108,14400,44,89,0.4944,4,11,0.3636,15,23,0.6522,13,28,41,25,7,8,16,22,107,0.57,0.535,0.302,0.233,31.7,68.3,50.0,75.0,14.3,9.0,16.0,100.0,110.6,109.6,0.54,0.517,0.124,0.258,31.7,68.3,50.0,56.8,7.2,13.3,13.9,100.0,109.6,110.6,97.7,0.535,16.0,31.7,0.18600000000000003,110.6,97.7,0.517,13.9,31.7,0.16899999999999998,109.6
8,24,29,24,32,0,0,0,0,0,31,22,26,28,0,0,0,0,0,0,20091028,7:30 pm,PHO,109,LAC,107,0,2010,14400,41,80,0.5125,7,15,0.4667,20,27,0.7407,10,26,36,19,6,5,14,20,109,14400,43,77,0.5584,6,13,0.4615,15,27,0.5556,7,28,35,27,9,7,15,24,107,0.593,0.556,0.188,0.33799999999999997,26.3,78.8,50.7,46.3,6.4,7.8,13.2,100.0,115.4,113.3,0.602,0.597,0.16899999999999998,0.35100000000000003,21.2,73.7,49.3,62.8,9.5,10.8,14.4,100.0,113.3,115.4,94.5,0.556,13.2,26.3,0.25,115.4,94.5,0.597,14.4,21.2,0.195,113.3
9,24,29,18,25,0,0,0,0,0,20,21,16,17,0,0,0,0,0,0,20091028,7:00 pm,DET,96,MEM,74,0,2010,14400,37,72,0.5139,6,16,0.375,16,29,0.5517,10,29,39,20,5,4,9,27,96,14400,26,72,0.3611,2,12,0.1667,20,31,0.6452,17,32,49,10,3,3,14,26,74,0.5660000000000001,0.556,0.222,0.40299999999999997,23.8,63.0,44.3,54.1,6.1,6.7,9.6,100.0,117.1,90.3,0.43200000000000005,0.375,0.16699999999999998,0.431,37.0,76.2,55.7,38.5,3.7,5.4,14.1,100.0,90.3,117.1,81.9,0.556,9.6,23.8,0.222,117.1,81.9,0.375,14.1,37.0,0.278,90.3
